    % Node      UX                UY            UZ             RX              RY             RZ
  109    -1.46978E-03    2.19977E-05   -2.69674E-04   -2.80662E-04   -2.61968E-03   -9.09453E-05
  110    -1.48135E-03    1.35953E-05   -3.17021E-04   -1.73458E-04   -2.76723E-03   -4.78128E-05
  111    -1.48576E-03   -7.38726E-17   -3.33335E-04   -5.20393E-16   -2.82359E-03   -9.99224E-16
  112    -1.48135E-03   -1.35953E-05   -3.17021E-04    1.73458E-04   -2.76723E-03    4.78128E-05
  113    -1.46978E-03   -2.19977E-05   -2.69674E-04    2.80662E-04   -2.61968E-03    9.09453E-05
  114    -1.45549E-03   -2.19977E-05   -1.95929E-04    2.80662E-04   -2.43730E-03    1.25175E-04
  115    -1.44392E-03   -1.35953E-05   -1.03006E-04    1.73458E-04   -2.28974E-03    1.47153E-04
  116    -1.43950E-03    3.73836E-17   -5.63738E-18   -8.09922E-17   -2.23338E-03    1.54725E-04
  117    -1.44392E-03    1.35953E-05    1.03006E-04   -1.73458E-04   -2.28974E-03    1.47153E-04
  118    -1.45549E-03    2.19977E-05    1.95929E-04   -2.80662E-04   -2.43730E-03    1.25175E-04
  119    -1.46978E-03    2.19977E-05    2.69674E-04   -2.80662E-04   -2.61968E-03    9.09453E-05
  120    -1.48135E-03    1.35953E-05    3.17021E-04   -1.73458E-04   -2.76723E-03    4.78128E-05
